,Company name,Symbol,Stock price (USD),Sector,Industry,Market
572,Motorola Solutions,MSI,$242.26,Electronic Technology,Aerospace & Defense,NYSE
573,Datto Holding Corp,MSP,$22.74,Technology Services,Packaged Software,NYSE
574,Microstrategy,MSTR,$750.07,Technology Services,Internet Software/Services,NASDAQ
575,Match Group,MTCH,$155.99,Technology Services,Internet Software/Services,NASDAQ
576,Mettler-Toledo International,MTD,"$1,409.52",Health Technology,Medical Specialties,NYSE
577,Matador Resources,MTDR,$44.02,Energy Minerals,Oil & Gas Production,NYSE
578,MGIC Investment,MTG,$16.43,FInance,Specialty Insurance,NYSE
579,Micron Technology,MU,$67.33,Electronic Technology,Semiconductors,NASDAQ
580,MUFJ Financial Group,MUFG,$5.84,Finance,Major Banks,NYSE
581,Murphy Oil Corporation,MUR,$28.98,Energy Minerals,Oil & Gas Production,NYSE
582,McEwen Mining Inc,MUX,$1.15,Non-Energy Minerals,Precious Metals,NYSE
583,Microvision,MVIS,$9.31,Electronic Technology,Electronic Production Equipment,NASDAQ
584,Navient Corporation,NAVI,$20.30,Finance,Finance/Rental/Leasing,NASDAQ
585,New Age Beverage,NBEV,$1.46,Consumer Non-Durables,Beverages: Alcoholic,NASDAQ
586,Neurocrine Biosciences,NBIX,$104.55,Health Technology,Biotechnology,NASDAQ
587,Norwegian Cruise Line Holdings,NCLH,$26.09,Consumer Services,Hotels/Resorts/Cruise lines,NYSE
588,Nasdaq OMX Group,NDAQ,$203.40,Finance,Investment Banks/Brokers,NASDAQ
589,NextEra Energy,NEE,$81.45,Utilities,Electric Utilities,NYSE
590,Newmont Mining,NEM,$56.70,Non-Energy Minerals,Precious Metals,NYSE
591,Cloudflare,NET,$172.98,Technology Services,Information Technology Services,NYSE
592,Netflix,NFLX,$626.13,Consumer Services,Cable/Satellite TV,NASDAQ
593,NICE Systems,NICE,$276.47,Technology Services,Information Technology Services,NASDAQ
594,NIO,NIO,$38.55,Consumer Durables,Motor Vehicles,NYSE
595,Nike,NKE,$157.83,Consumer Non-Durables,Apparel/Footwear,NYSE
596,Nikola Corporation,NKLA,$11.04,Consumer Durables,Motor Vehicles,NASDAQ
597,Nektar Therapeutics,NKTR,$16.98,Health Technology,Pharmaceuticals: Major,NASDAQ
598,NortonLifeLock,NLOK,$25.49,Technology Services,Packaged Software,NASDAQ
599,Annaly Capital Management,NLY,$8.57,Finance,Real Estate Investment Trusts,NYSE
600,Nomura,NMR,$4.87,Finance,Investment Banks/Brokers,NYSE
601,Noah Holdings Limited,NOAH,$37.00,Finance,Investment Banks/Brokers,NYSE
602,Northrop Grumman,NOC,$395.34,Electronic Technology,Aerospace & Defense,NYSE
603,National Oilwell Varco,NOV,$15.03,Industrial Services,Oilfield Services/Equipment,NYSE
